time_index,area,num_people,area_m2,density,congestion
16,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
16,IM2,0,464.7433054559947,0.0,0.0
16,J,7,562.7925975599836,0.0124379745404414,0.0248759490808828
16,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
16,IM1,0,414.08163255867794,0.0,0.0
16,L,3,660.6695710486767,0.0045408478480976,0.0090816956961952
16,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
16,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
16,A,0,595.5331344664123,0.0,0.0
17,Outside,135,,,
17,K,8,620.3470150691795,0.0128960078885974,0.0257920157771948
17,G,7,440.4463806991165,0.0158929674683419,0.0317859349366838
17,D,9,616.3836869173489,0.0146012949255855,0.029202589851171
17,F,7,438.7231945461476,0.0159553907498357,0.0319107814996714
17,E,14,583.1261941650279,0.0240085253245165,0.048017050649033
17,H,17,628.9629458340296,0.0270286192733616,0.0540572385467232
17,GH,13,844.1888963399747,0.0153993970500704,0.0307987941001408
17,B,4,736.6620803946497,0.0054298980583568,0.0108597961167136
17,IM2,0,464.7433054559947,0.0,0.0
17,J,6,562.7925975599836,0.0106611210346641,0.0213222420693282
17,C,1,637.5788765988797,0.0015684333918564,0.0031368667837128
17,IM1,3,414.08163255867794,0.007244948252021,0.014489896504042
17,L,3,660.6695710486767,0.0045408478480976,0.0090816956961952
17,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
17,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
17,A,0,595.5331344664123,0.0,0.0
18,Outside,132,,,
18,K,10,620.3470150691795,0.0161200098607467,0.0322400197214934
18,G,9,440.4463806991165,0.0204338153164396,0.0408676306328792
18,D,12,616.3836869173489,0.019468393234114,0.038936786468228
18,F,9,438.7231945461476,0.0205140738212174,0.0410281476424348
18,E,15,583.1261941650279,0.0257234199905533,0.0514468399811066
18,H,14,628.9629458340296,0.0222588629310037,0.0445177258620074
18,GH,19,844.1888963399747,0.0225068110731798,0.0450136221463596
18,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
18,IM2,0,464.7433054559947,0.0,0.0
18,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
18,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
18,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
18,L,4,660.6695710486767,0.0060544637974635,0.012108927594927
18,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
18,M,0,672.0425996582782,0.0,0.0
18,A,0,595.5331344664123,0.0,0.0
19,Outside,121,,,
19,K,10,620.3470150691795,0.0161200098607467,0.0322400197214934
19,G,6,440.4463806991165,0.013622543544293,0.027245087088586
19,D,11,616.3836869173489,0.0178460271312712,0.0356920542625424
19,F,10,438.7231945461476,0.0227934153569082,0.0455868307138164
19,E,32,583.1261941650279,0.0548766293131805,0.109753258626361
19,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
19,GH,12,844.1888963399747,0.0142148280462188,0.0284296560924376
19,B,8,736.6620803946497,0.0108597961167136,0.0217195922334272
19,IM2,1,464.7433054559947,0.0021517254541597,0.0043034509083194
19,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
19,C,0,637.5788765988797,0.0,0.0
19,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
19,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
19,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
19,M,0,672.0425996582782,0.0,0.0
19,A,0,595.5331344664123,0.0,0.0
20,Outside,124,,,
20,K,9,620.3470150691795,0.014508008874672,0.029016017749344
20,G,11,440.4463806991165,0.0249746631645373,0.0499493263290746
20,D,14,616.3836869173489,0.0227131254397997,0.0454262508795994
20,F,12,438.7231945461476,0.0273520984282898,0.0547041968565796
20,E,14,583.1261941650279,0.0240085253245165,0.048017050649033
20,H,14,628.9629458340296,0.0222588629310037,0.0445177258620074
20,GH,10,844.1888963399747,0.0118456900385156,0.0236913800770312
20,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
20,IM2,0,464.7433054559947,0.0,0.0
20,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
20,C,0,637.5788765988797,0.0,0.0
20,IM1,0,414.08163255867794,0.0,0.0
20,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
20,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
20,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
20,A,0,595.5331344664123,0.0,0.0
21,Outside,103,,,
21,K,9,620.3470150691795,0.014508008874672,0.029016017749344
21,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
21,D,11,616.3836869173489,0.0178460271312712,0.0356920542625424
21,F,13,438.7231945461476,0.0296314399639807,0.0592628799279614
21,E,27,583.1261941650279,0.0463021559829961,0.0926043119659922
21,H,20,628.9629458340296,0.0317983756157196,0.0635967512314392
21,GH,7,844.1888963399747,0.0082919830269609,0.0165839660539218
